group,scores,logfoldchanges,pvals,pvals_adj,gene_name,mean,std,median,count,sum,nonzero,perc_expressing,is_TF,is_neuropeptide
C2,36.65283,2.8050833,4.1248113974842025e-294,8.472768329586404e-292,Deptor,2.457778215408325,2.598900079727173,0.0,5540.0,13616.0908203125,2653,0.47888086642599276,False,False
C2,8.378574,2.7936108,5.357262639320436e-17,7.206280286708004e-16,Gm47757,0.39733728766441345,1.3025856018066406,0.0,5540.0,2201.24853515625,476,0.08592057761732852,False,False
C2,27.940517,2.7920878,8.595601897644975e-172,8.616231342199324e-170,Palmd,1.6101943254470825,2.328977584838867,0.0,5540.0,8920.4765625,1814,0.32743682310469313,False,False
C2,36.64933,2.7715216,4.689639024276308e-294,9.554662922631241e-292,Sfta3-ps,3.4228029251098633,2.754817008972168,4.802158355712891,5540.0,18962.328125,3425,0.618231046931408,False,False
C2,70.36136,2.7578764,0.0,0.0,Kcnq3,6.478303909301758,1.2505899667739868,6.708794593811035,5540.0,35889.8046875,5400,0.9747292418772563,False,False
C2,65.92263,2.7546613,0.0,0.0,Rasgrf2,5.699842929840088,1.5983270406723022,6.098038673400879,5540.0,31577.12890625,5196,0.9379061371841155,False,False
C2,33.377663,2.7545862,2.892041547691603e-244,4.446292097248563e-242,Gm5149,2.11079478263855,2.4935483932495117,0.0,5540.0,11693.802734375,2345,0.4232851985559567,False,False
C2,15.2928295,2.7503457,8.535938059519925e-53,2.7744566507337134e-51,Ccnjl,0.7839921116828918,1.7793495655059814,0.0,5540.0,4343.31640625,910,0.16425992779783394,False,False
C2,32.255318,2.7296746,2.963069238914434e-228,4.1951703461692495e-226,Gm2694,1.9691064357757568,2.4080004692077637,0.0,5540.0,10908.849609375,2245,0.4052346570397112,False,False
C2,2.5412374,2.728782,0.011046093403800845,0.0442408663415773,Nr0b1,0.11926870048046112,0.7358220815658569,0.0,5540.0,660.7485961914062,143,0.025812274368231046,True,False
C2,31.68868,2.7256563,2.224994178596456e-220,2.9977609739584507e-218,Gm42722,1.9117145538330078,2.393258571624756,0.0,5540.0,10590.8984375,2182,0.3938628158844765,False,False
C2,26.504822,2.6990194,8.528087361690741e-155,7.79977625123978e-153,Slc24a4,1.5523550510406494,2.3119378089904785,0.0,5540.0,8600.046875,1744,0.3148014440433213,False,False
C2,39.553043,2.6865666,0.0,0.0,Prkd1,3.3975653648376465,2.888761520385742,4.881807327270508,5540.0,18822.51171875,3272,0.5906137184115523,False,False
C2,8.652807,2.6855733,5.024764934212332e-18,7.086134454212776e-17,Lrrc36,0.4211212396621704,1.34102463722229,0.0,5540.0,2333.01171875,502,0.09061371841155234,False,False
C2,44.031494,2.679915,0.0,0.0,Zbtb7c,3.668842315673828,2.5067641735076904,4.908163547515869,5540.0,20325.38671875,3825,0.6904332129963899,True,False
C2,3.285961,2.6693482,0.001016350989993772,0.004992112075508414,Chil3,0.15709000825881958,0.8442596197128296,0.0,5540.0,870.2786254882812,187,0.03375451263537906,False,False
C2,35.35886,2.6692057,7.328024492257224e-274,1.350296277764456e-271,Fam126a,2.334876775741577,2.506258010864258,0.0,5540.0,12935.216796875,2606,0.4703971119133574,False,False
C2,33.879353,2.6681988,1.3418779167655757e-251,2.197873241447407e-249,Adamts18,2.293116569519043,2.550593852996826,0.0,5540.0,12703.865234375,2512,0.45342960288808665,False,False
C2,64.99909,2.659847,0.0,0.0,Lcorl,5.751923561096191,1.8238574266433716,6.244699001312256,5540.0,31865.65625,5102,0.9209386281588448,True,False
